compound,Rtm,Etm,Wtm,Qtm,Ctm,Vtm,Eltm,DVEtm,WFtm,Ntm,Ntmf,Nx,Vx,Elx,Nxs,Nxf,Cx,Qx,Wx,WFx,Rx,DVEx,LEf,LEs,Vtmx,BEtmx,Covh,target
CrTe2_x,1.18,1.6,52,4,5,6,652.9,1.33,4.5,36,3,71,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,17.4,11.1,3.2,0.544793539,0.028571429,0.28
CrSe2_x,1.18,1.6,52,4,5,6,652.9,1.33,4.5,36,3,71,6,940.9,3,6,3,4,78.96,5.9,1.2,1.77,19.2,12,3.2,0.582408791,0.028571429,0.03
NiS2_x,1.15,1.9,58.69,4,5,10,737.1,2.9,5.1,36,3,71,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,8.2,20.7,4,0.62182527,0.028571429,-0.25
VS2_x,1.22,1.6,50.94,4,5,5,650.9,1.61,4.3,36,3,71,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,7.3,19.8,3,0.588784058,0.028571429,0.25
TaS2_x,1.34,1.5,180.95,6,5,5,728.4,1.7,4.1,36,3,71,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,7,19.5,3,0.62182527,0.028571429,-0.1
NbS2_x,1.34,1.6,92.91,5,5,5,652.1,1.75,4.3,36,3,71,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,7.3,19.8,3,0.657013445,0.028571429,0.23
NiTe2_x,1.15,1.9,58.69,4,5,10,737.1,2.9,5.1,36,3,71,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,18.3,12,4,0.569912274,0.028571429,0.14
MnS2_x,1.17,1.5,54.94,4,5,7,717.3,1.26,4.1,36,3,71,6,999.6,3,6,3,3,32.07,6.2,1.05,1.44,19.5,12,3.4,0.605530071,0.028571429,0
VSe2_x,1.22,1.6,50.94,4,5,5,650.9,1.61,4.3,36,3,71,6,940.9,3,6,3,4,78.96,5.9,1.2,1.77,19.2,12,3,0.576888204,0.028571429,0.04
NbSe2_x,1.34,1.6,92.91,5,5,5,652.1,1.75,4.3,36,3,71,6,940.9,6,1,3,4,78.96,5.9,1.2,1.77,7.2,19.2,3,0.643739078,0.028571429,-0.16
VTe2_x,1.22,1.6,50.94,4,5,5,650.9,1.61,4.3,36,1,71,6,869.2,2,2,3,5,127.6,4.95,1.38,1.82,5.8,7.4,3,0.554977477,0.028571429,0.22
NbTe2_x,1.34,1.6,92.91,5,5,5,652.1,1.75,4.3,36,1,71,6,869.2,2,2,3,5,127.6,4.95,1.38,1.82,5.8,7.4,3,0.602162769,0.028571429,0.24
TiSe2_x,1.32,1.5,204.38,4,5,4,658.8,1.81,4.3,36,3,71,6,940.9,3,6,3,4,78.96,5.9,1.2,1.77,18.9,11.7,2.8,0.601331855,0.028571429,0.18
TaSe2_x,1.34,1.5,180.95,6,5,5,728.4,1.7,4.1,36,3,71,6,940.9,6,1,3,4,78.96,5.9,1.2,1.77,6.9,18.9,3,0.609261848,0.028571429,0.21
PdTe2_x,1.28,2.2,106.42,5,5,10,804.4,3.2,5.5,36,3,71,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,19.2,12.9,4,0.614817046,0.028571429,0.15
TiTe2_x,1.32,1.5,204.38,4,5,4,658.8,1.81,4.3,36,3,71,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,17.1,10.8,2.8,0.562494444,0.028571429,0.06
TaTe2_x,1.34,1.5,180.95,6,5,5,728.4,1.7,4.1,36,1,71,6,869.2,2,2,3,5,127.6,4.95,1.38,1.82,5.7,7.2,3,0.569912274,0.028571429,0.4
MoTe2_x,1.29,1.8,95.94,5,5,6,684.3,1.46,4.6,36,3,71,6,869.2,6,1,3,5,127.6,4.95,1.38,1.82,7.5,18,3.2,0.588047617,0.028571429,0.13
ZrTe2_x,1.45,1.4,91.22,5,5,4,640.1,1.96,4,36,3,71,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,16.8,10.5,2.8,0.535723809,0.028571429,0.3
HfTe2_x,1.44,1.3,178.49,6,5,4,658.5,1.88,3.9,36,3,71,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,16.5,10.2,2.8,0.530471488,0.028571429,0.47
CoS2_x,1.16,1.9,58.93,4,5,9,760.4,1.14,5,36,3,71,6,999.6,3,6,3,3,32.07,6.2,1.05,1.44,20.7,13.2,3.8,0.6244998,0.028571429,
